name,time,location
d0,2021-05-11 10:00:00,[23.63999566 23.95326338  2.6877206 ]
d0,2021-05-11 10:10:00,[51.22291486 13.72650128  2.46004921]
d0,2021-05-11 10:20:00,[80.53894066 36.17604461  2.94953048]
d0,2021-05-11 10:30:00,[80.59076204 75.0963613   6.38795739]
d0,2021-05-11 10:40:00,[50.63863083 87.575976    2.13417909]
d0,2021-05-11 10:50:00,[28.00185909 58.90097952  2.64482796]
d0,2021-05-11 11:00:00,[36.78830411 36.88356182  2.50931226]
d0,2021-05-11 11:10:00,[66.04186401 40.50940171  2.81387293]
d0,2021-05-11 11:20:00,[52.49996735 66.71172886  2.66375444]
d0,2021-05-11 11:30:00,[40.76854161 54.90136075  2.38616041]
d0,2021-05-11 11:40:00,[47.09392202 48.1984661   2.44212059]
