name,time,location
d0,2021-05-11 10:00:00,[23.63999568 23.9532634   2.6877206 ]
d0,2021-05-11 10:10:00,[51.22291473 13.72650161  2.46004088]
d0,2021-05-11 10:20:00,[80.53894075 36.1760446   2.94952765]
d0,2021-05-11 10:30:00,[80.59076213 75.09636082  6.38795568]
d0,2021-05-11 10:40:00,[50.63863084 87.57597601  2.13417913]
d0,2021-05-11 10:50:00,[28.00186646 58.90097785  2.64543831]
d0,2021-05-11 11:00:00,[36.78830412 36.88356182  2.50931225]
d0,2021-05-11 11:10:00,[66.04186395 40.50940164  2.81387294]
d0,2021-05-11 11:20:00,[52.49996733 66.71172885  2.66375507]
d0,2021-05-11 11:30:00,[40.7685416  54.90136074  2.38616039]
d0,2021-05-11 11:40:00,[47.09392198 48.19846603  2.44212051]
